query, response, timestamp (time taken to generate/update the response), count, entry time, current time of logging, time difference
bluebell, Default response for bluebell, 1753036249.1203957, 0, 1753036249.1204011, 1753036249.1205323, 0.00013113021850585938, True
a hollow voice says plugh, Default response for a hollow voice says plugh, 1753036249.1207154, 0, 2025-07-20 14:30:49.120716, 1753036249.120836, 0.00011968612670898438, True 
a hollow voice says plugh, Default response for a hollow voice says plugh, 1753037975.412872, 0, 2025-07-20 14:59:35.412877, 1753037975.4130082, 0.0001316070556640625, True 
bluebell, Default response for bluebell, 1753037975.413183, 0, 2025-07-20 14:59:35.413184, 1753037975.413302, 0.00011801719665527344, True 
bluebell, Default response for bluebell, 1753038623.7358515, 0, 2025-07-20 15:10:23.735856, 1753038623.7359848, 0.0001289844512939453, True 
a hollow voice says plugh, Default response for a hollow voice says plugh, 1753038623.7361543, 0, 2025-07-20 15:10:23.736156, 1753038623.7362757, 0.00011992454528808594, True 
bluebell, Default response for bluebell, 1753038716.463228, 0, 2025-07-20 15:11:56.463233, 1753038716.4633632, 0.0001304149627685547, True 
a hollow voice says plugh, Default response for a hollow voice says plugh, 1753038716.4635336, 0, 2025-07-20 15:11:56.463535, 1753038716.4636562, 0.00012159347534179688, True 
a hollow voice says plugh, Default response for a hollow voice says plugh, 1753038855.696914, 0, 2025-07-20 15:14:15.696918, 1753038855.6970472, 0.0001289844512939453, True 
bluebell, Default response for bluebell, 1753038855.6972215, 0, 2025-07-20 15:14:15.697223, 1753038855.6973407, 0.00011777877807617188, True 
bluebell, Default response for bluebell, 1753038898.063737, 0, 2025-07-20 15:14:58.063741, 1753038898.0638692, 0.0001285076141357422, True 
a hollow voice says plugh, Default response for a hollow voice says plugh, 1753038898.0640414, 0, 2025-07-20 15:14:58.064043, 1753038898.0641658, 0.0001232624053955078, True 
bluebell, Default response for bluebell, 1753038936.3612041, 0, 2025-07-20 15:15:36.361209, 1753038936.3613467, 0.00013780593872070312, True 
a hollow voice says plugh, Default response for a hollow voice says plugh, 1753038936.3615265, 0, 2025-07-20 15:15:36.361528, 1753038936.3616467, 0.00011849403381347656, True 
a hollow voice says plugh, Default response for a hollow voice says plugh, 1753039303.2927673, 0, 2025-07-20 15:21:43.292772, 1753039303.2929149, 0.00014328956604003906, True 
bluebell, Default response for bluebell, 1753039303.2930908, 0, 2025-07-20 15:21:43.293092, 1753039303.293225, 0.00013327598571777344, True 
bluebell, Default response for bluebell, 1753039533.8724961, 0, 2025-07-20 15:25:33.872604, 1753039533.8728611, 0.0002567768096923828, True 
a hollow voice says plugh, Default response for a hollow voice says plugh, 1753039533.8730536, 0, 2025-07-20 15:25:33.873055, 1753039533.873178, 0.00012350082397460938, True 
a hollow voice says plugh, Default response for a hollow voice says plugh, 1753039595.9477785, 0, 2025-07-20 15:26:35.947783, 1753039595.9479163, 0.00013303756713867188, True 
