query, response, timestamp (time taken to generate/update the response), count, entry time, current time of logging, time difference
bluebell, Default response for bluebell, 1752965571.4890993, 0, 1752965571.489104, 1752965571.4892354, 0.00013136863708496094, True
a hollow voice says plugh, Default response for a hollow voice says plugh, 1752965571.4894376, 0, 2025-07-19 18:52:51.489439, 1752965571.4895658, 0.00012683868408203125, True 
a hollow voice says plugh, Default response for a hollow voice says plugh, 1752966131.7407243, 0, 2025-07-19 19:02:11.740729, 1752966131.740855, 0.00012612342834472656, True 
bluebell, Default response for bluebell, 1752966131.7410376, 0, 2025-07-19 19:02:11.741038, 1752966131.7411568, 0.00011849403381347656, True 
a hollow voice says plugh, Default response for a hollow voice says plugh, 1752966509.6890557, 0, 2025-07-19 19:08:29.689062, 1752966509.6893628, 0.0003006458282470703, True 
bluebell, Default response for bluebell, 1752966509.6896455, 0, 2025-07-19 19:08:29.689648, 1752966509.6897864, 0.00013828277587890625, True 
bluebell, Default response for bluebell, 1752966738.6329072, 0, 2025-07-19 19:12:18.632911, 1752966738.633041, 0.00012969970703125, True 
a hollow voice says plugh, Default response for a hollow voice says plugh, 1752966738.6332114, 0, 2025-07-19 19:12:18.633212, 1752966738.6333354, 0.00012302398681640625, True 
bluebell, Default response for bluebell, 1752966873.2768166, 0, 2025-07-19 19:14:33.276821, 1752966873.276949, 0.00012826919555664062, True 
a hollow voice says plugh, Default response for a hollow voice says plugh, 1752966873.2771142, 0, 2025-07-19 19:14:33.277115, 1752966873.2772326, 0.00011754035949707031, True 
